rowid,pl_hostname,pl_letter,pl_pnum
2253,Kepler-347,c,2
2254,Kepler-348,b,2
2255,Kepler-348,c,2
2256,Kepler-349,b,2
2257,Kepler-349,c,2
2258,Kepler-35,b,1
2259,Kepler-350,b,3
2260,Kepler-350,c,3
2261,Kepler-350,d,3
2262,Kepler-351,b,3
2263,Kepler-351,c,3
2264,Kepler-351,d,3
2265,Kepler-352,b,2
2266,Kepler-352,c,2
2267,Kepler-353,b,2
2268,Kepler-353,c,2
2269,Kepler-354,b,3
2270,Kepler-354,c,3
2271,Kepler-354,d,3
2272,Kepler-355,b,2
2273,Kepler-355,c,2
2274,Kepler-356,b,2
2275,Kepler-356,c,2
2276,Kepler-357,b,3
2277,Kepler-357,c,3
2278,Kepler-357,d,3
2279,Kepler-358,b,2
2280,Kepler-358,c,2
2281,Kepler-359,b,3
2282,Kepler-359,c,3
2283,Kepler-359,d,3
2284,Kepler-36,b,2
2285,Kepler-36,c,2
2286,Kepler-360,b,2
2287,Kepler-360,c,2
2288,Kepler-361,b,2
2289,Kepler-361,c,2
2290,Kepler-362,b,2
2291,Kepler-362,c,2
2292,Kepler-363,b,3
2293,Kepler-363,c,3
2294,Kepler-363,d,3
2295,Kepler-364,b,2
2296,Kepler-364,c,2
2297,Kepler-365,b,2
2298,Kepler-365,c,2
2299,Kepler-366,b,2
2300,Kepler-366,c,2
2301,Kepler-367,b,2
2302,Kepler-367,c,2
2303,Kepler-368,b,2
2304,Kepler-368,c,2
2305,Kepler-369,b,2
2306,Kepler-369,c,2
2307,Kepler-37,b,4
2308,Kepler-37,c,4
2309,Kepler-37,d,4
2310,Kepler-37,e,4
2311,Kepler-370,b,2
2312,Kepler-370,c,2
2313,Kepler-371,b,2
2314,Kepler-371,c,2
2315,Kepler-372,b,3
2316,Kepler-372,c,3
2317,Kepler-372,d,3
2318,Kepler-373,b,2
2319,Kepler-373,c,2
2320,Kepler-374,b,3
2321,Kepler-374,c,3
2322,Kepler-374,d,3
2323,Kepler-375,b,2
2324,Kepler-375,c,2
2325,Kepler-376,b,2
2326,Kepler-376,c,2
2327,Kepler-377,b,2
2328,Kepler-377,c,2
2329,Kepler-378,b,2
2330,Kepler-378,c,2
2331,Kepler-379,b,2
2332,Kepler-379,c,2
2333,Kepler-38,b,1
2334,Kepler-380,b,2
2335,Kepler-380,c,2
2336,Kepler-381,b,2
2337,Kepler-381,c,2
2338,Kepler-382,b,2
2339,Kepler-382,c,2
2340,Kepler-383,b,2
2341,Kepler-383,c,2
2342,Kepler-384,b,2
2343,Kepler-384,c,2
2344,Kepler-385,b,2
2345,Kepler-385,c,2
2346,Kepler-386,b,2
2347,Kepler-386,c,2
2348,Kepler-387,b,2
2349,Kepler-387,c,2
2350,Kepler-388,b,2
2351,Kepler-388,c,2
2352,Kepler-389,b,2
2353,Kepler-389,c,2
2354,Kepler-39,b,1
2355,Kepler-390,b,2
2356,Kepler-390,c,2
2357,Kepler-391,b,2
2358,Kepler-391,c,2
2359,Kepler-392,b,2
2360,Kepler-392,c,2
2361,Kepler-393,b,2
2362,Kepler-393,c,2
2363,Kepler-394,b,2
2364,Kepler-394,c,2
2365,Kepler-395,b,2
2366,Kepler-395,c,2
2367,Kepler-396,b,2
2368,Kepler-396,c,2
2369,Kepler-397,b,2
2370,Kepler-397,c,2
2371,Kepler-398,b,3
2372,Kepler-398,c,3
2373,Kepler-398,d,3
2374,Kepler-399,b,3
2375,Kepler-399,c,3
2376,Kepler-399,d,3
2377,Kepler-4,b,1
2378,Kepler-40,b,1
2379,Kepler-400,b,2
2380,Kepler-400,c,2
2381,Kepler-401,b,3
2382,Kepler-401,c,3
2383,Kepler-401,d,3
2384,Kepler-402,b,4
2385,Kepler-402,c,4
2386,Kepler-402,d,4
2387,Kepler-402,e,4
2388,Kepler-403,b,3
2389,Kepler-403,c,3
2390,Kepler-403,d,3
2391,Kepler-404,b,2
2392,Kepler-404,c,2
2393,Kepler-405,b,2
2394,Kepler-405,c,2
2395,Kepler-406,b,2
2396,Kepler-406,c,2
2397,Kepler-407,b,2
2398,Kepler-407,c,2
2399,Kepler-408,b,1
