full_name,name,prefix,diameter,BV,UB,IR,spec_B,spec_T
"   103 Hera",Hera,,83.908,.853,.441,,S,S
"   104 Klymene",Klymene,,136.553,.688,.340,,Ch,C
"   105 Artemis",Artemis,,112.326,.693,.317,,Ch,C
"   106 Dione",Dione,,207.869,.743,.464,,Cgh,G
"   107 Camilla",Camilla,,210.370,.705,.298,,X,C
"   108 Hecuba",Hecuba,,75.498,.855,.502,,Sl,S
"   109 Felicitas",Felicitas,,82.588,.696,.408,,Ch,GC
"   110 Lydia",Lydia,,86.09,.705,.298,,X,M
"   111 Ate",Ate,,126.344,.690,.389,,Ch,C
"   112 Iphigenia",Iphigenia,,69.818,.696,.284,,Ch,DCX
"   113 Amalthea",Amalthea,,50.137,.925,.521,,S,S
"   114 Kassandra",Kassandra,,94.178,.768,.269,,Xk,T
"   115 Thyra",Thyra,,79.83,.851,.431,,S,S
"   116 Sirona",Sirona,,71.70,.873,.429,,Sk,S
"   117 Lomia",Lomia,,208.974,.687,.306,,X,XC
"   118 Peitho",Peitho,,40.211,.859,.433,,S,S
"   119 Althaea",Althaea,,57.30,.874,.342,,Sl,S
"   120 Lachesis",Lachesis,,155.132,.707,.383,,C,C
"   121 Hermione",Hermione,,209.00,.739,.425,,Ch,C
"   122 Gerda",Gerda,,70.676,.776,.410,,L,ST
"   123 Brunhild",Brunhild,,45.209,.850,.395,,S,S
"   124 Alkeste",Alkeste,,88.648,.844,.424,,S,S
"   125 Liberatrix",Liberatrix,,48.418,.705,.239,,X,M
"   126 Velleda",Velleda,,44.82,.865,.496,,,S
"   127 Johanna",Johanna,,122,,,,Ch,CX
"   128 Nemesis",Nemesis,,162.515,.685,.392,,C,C
"   129 Antigone",Antigone,,113,.717,.245,,X,M
"   130 Elektra",Elektra,,180.652,.753,.483,,Ch,G
"   131 Vala",Vala,,31.337,.829,.402,,Xc,SU
"   132 Aethra",Aethra,,42.87,.673,.188,,Xe,M
"   133 Cyrene",Cyrene,,72.175,.907,.510,,S,SR
"   134 Sophrosyne",Sophrosyne,,108,.690,.322,,Ch,C
"   135 Hertha",Hertha,,79.24,.698,.269,,Xk,M
"   136 Austria",Austria,,36.893,.752,.247,,Xe,M
"   137 Meliboea",Meliboea,,128.678,.689,.326,,,C
"   138 Tolosa",Tolosa,,52.905,.877,.490,,,S
"   139 Juewa",Juewa,,151.116,.693,.287,,X,CP
"   140 Siwa",Siwa,,109.79,.721,.299,,Xc,P
"   141 Lumen",Lumen,,117.916,,,,Ch,CPF
"   142 Polana",Polana,,54.812,.621,.236,,B,F
"   143 Adria",Adria,,95.377,.738,.336,,Xc,C
"   144 Vibilia",Vibilia,,142.38,.727,.402,,Ch,C
"   145 Adeona",Adeona,,127.783,.701,.352,,Ch,C
"   146 Lucina",Lucina,,160.310,.703,.405,,Ch,C
"   147 Protogeneia",Protogeneia,,132.93,.678,.293,,C,C
"   148 Gallia",Gallia,,97.75,.858,.423,,S,GU
"   149 Medusa",Medusa,,23.719,.803,.500,,,S
"   150 Nuwa",Nuwa,,119.128,.706,.275,,Cb,CX
"   151 Abundantia",Abundantia,,39.037,.867,.496,,Sl,S
"   152 Atala",Atala,,58.964,.882,.452,,S,I
"   153 Hilda",Hilda,,170.63,.669,.243,,X,P
"   154 Bertha",Bertha,,192.611,,,,C,
"   155 Scylla",Scylla,,39.605,.688,.234,,,XFC
"   156 Xanthippe",Xanthippe,,143.346,.713,.315,,Ch,C
"   157 Dejanira",Dejanira,,19.959,,,,,
"   158 Koronis",Koronis,,39.025,.859,.394,,S,S
"   159 Aemilia",Aemilia,,125.236,.700,.380,,Ch,C
"   160 Una",Una,,81.24,.718,.363,,C,CX
"   161 Athor",Athor,,40.992,.719,.208,,Xc,M
"   162 Laurentia",Laurentia,,97.021,.747,.374,,Ch,STU
"   163 Erigone",Erigone,,69.389,.717,.341,,Ch,C
"   164 Eva",Eva,,100.254,.684,.326,,X,CX
"   165 Loreley",Loreley,,180.083,.722,.291,,Cb,CD
"   166 Rhodope",Rhodope,,52.393,.725,.425,,Xe,GC:
"   167 Urda",Urda,,39.935,.837,.400,,Sk,S
"   168 Sibylla",Sibylla,,145.366,.745,.384,,Ch,C
"   169 Zelia",Zelia,,37.517,.848,.458,,Sl,S
"   170 Maria",Maria,,33.136,.886,.447,,S,S
"   171 Ophelia",Ophelia,,130.808,.695,.341,,C,C
"   172 Baucis",Baucis,,62.43,.890,.499,,L,S
"   173 Ino",Ino,,125.821,.705,.305,,Xk,C
"   174 Phaedra",Phaedra,,64.849,.858,.484,,S,S
"   175 Andromache",Andromache,,94.532,.706,.332,,Cg,C
"   176 Iduna",Iduna,,106.976,,,,Ch,G
"   177 Irma",Irma,,69.049,.730,.350,,Ch,C:
"   178 Belisana",Belisana,,35.81,.904,.486,,S,S
"   179 Klytaemnestra",Klytaemnestra,,69.946,.832,.408,,Sk,S
"   180 Garumna",Garumna,,23.440,.829,.451,,Sq,S
"   181 Eucharis",Eucharis,,115.383,.815,.379,,Xk,S
"   182 Elsa",Elsa,,39.520,.862,.425,,S,S
"   183 Istria",Istria,,32.927,.842,.359,,S,S
"   184 Dejopeja",Dejopeja,,62.483,.699,.227,,X,X
"   185 Eunike",Eunike,,160.464,.668,.331,,C,C
"   186 Celuta",Celuta,,49.99,.859,.397,,K,S
"   187 Lamberta",Lamberta,,147.294,.709,.348,,Ch,C
"   188 Menippe",Menippe,,35.752,.891,.386,,S,S
"   189 Phthia",Phthia,,38.490,.904,.491,,Sa,S
"   190 Ismene",Ismene,,159,.683,.269,,X,P
"   191 Kolga",Kolga,,94.536,.675,.258,,Cb,XC:
"   192 Nausikaa",Nausikaa,,98.776,.927,.487,,Sl,S
"   193 Ambrosia",Ambrosia,,26.302,.811,.306,,Sk,
"   194 Prokne",Prokne,,161.667,.724,.341,,C,C
"   195 Eurykleia",Eurykleia,,93.109,.704,.387,,Ch,C
"   196 Philomela",Philomela,,144.626,.852,.451,,S,S
"   197 Arete",Arete,,31.729,.908,.496,,S,S
"   198 Ampella",Ampella,,54.323,.885,.421,,S,S
"   199 Byblis",Byblis,,76.129,,,,X,
"   200 Dynamene",Dynamene,,128.301,.727,.375,,Ch,C
"   201 Penelope",Penelope,,85.877,.720,.233,,X,M
"   202 Chryseis",Chryseis,,86.15,.875,.475,,,S
"   203 Pompeja",Pompeja,,124.592,.702,.293,,,DCX:
"   204 Kallisto",Kallisto,,48.566,.813,.415,,,S
"   205 Martha",Martha,,76.983,.688,.350,,Ch,C
"   206 Hersilia",Hersilia,,113,.690,.345,,C,C
"   207 Hedda",Hedda,,57.880,.722,.389,,Ch,C
"   208 Lacrimosa",Lacrimosa,,40.056,.841,.407,,Sk,S
"   209 Dido",Dido,,179.008,.691,.294,,Xc,C
"   210 Isabella",Isabella,,86.65,.667,.248,,Cb,CF
"   211 Isolda",Isolda,,141.125,.711,.364,,Ch,C
"   212 Medea",Medea,,136.12,.704,.286,,,DCX:
"   213 Lilaea",Lilaea,,82.096,.650,.221,,B,F
"   214 Aschera",Aschera,,24.957,.700,.217,,Xc,E
"   215 Oenone",Oenone,,35.210,.845,.451,,,S
"   216 Kleopatra",Kleopatra,,124,.713,.238,,Xe,M
"   217 Eudora",Eudora,,65.392,,,,,X
"   218 Bianca",Bianca,,60.62,.859,.443,,,S
"   219 Thusnelda",Thusnelda,,37.674,.905,.482,,,S
"   220 Stephania",Stephania,,31.738,,,,,XC
"   221 Eos",Eos,,95.469,.768,.410,,K,S
"   222 Lucia",Lucia,,55.350,.688,.395,,,BU
