Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Gl 809,,Gl 809,,M2V
Gl 105 B,,Gl 105 B,,dM4.5
NN 3737,,NN 3737,,M4
GJ 1286,,GJ 1286,,M5
Gl 105,,Gl 105,,K3V
BD+01°2447,,Gl 393,,M2
NN 4053,,NN 4053,,m
NN 3991,,NN 3991,,M3
GJ 1230,,GJ 1230,,k-m
GJ 1230 B,,GJ 1230 B,,m
GJ 2005,,GJ 2005,,M5.5
GJ 1224,,GJ 1224,,m
NN 4274,,NN 4274,,M4
Beta Hydri,Beta Hydri,Gl 19,,G2IV
BD+04°123,,Gl 33,,K2V
107 Piscium,107 Piscium,Gl 68,,K1V
BD-20°4123,,Gl 570 B,,K5V
Gl 53 B,,Gl 53 B,,
NN 3193 B,,NN 3193 B,,M3
NN 3378,,NN 3378,,m
30 Mu Cassiopeiae,30 Mu Cassiopeiae,Gl 53,,G5Vp
Gl 109,,Gl 109,,M3.5Ve
BD+11°2576,,Gl 514,,M1V
Gl 879,,Gl 879,,K4Vp
Gl 480.1,,Gl 480.1,,M4
BD+02°3312,,Gl 673,,K7V
Fomalhaut,24 Alpha Piscis Austrini,Gl 881,Fomalhaut,A3V
NN 3417,,NN 3417,,m
GJ 1093,,GJ 1093,,m
Gl 915,,Gl 915,,DA5
BD-03°2870,,Gl 382,,M3
BD-03°4233,,Gl 701,,M2V
Vega,3 Alpha Lyrae,Gl 721,Vega,A0Vvar
NN 3789,,NN 3789,,M4 e
GJ 1087,,GJ 1087,,DAP9
Gl 257 B,,Gl 257 B,,M3
Gl 831 B,,Gl 831 B,,
1 Pi 3 Orionis,1 Pi 3 Orionis,Gl 178,,F6V
Gl 257,,Gl 257,,M4+...
Gl 623,,Gl 623,,M3
Gl 793,,Gl 793,,M3
Gl 831,,Gl 831,,M4e...
Gl 66,,Gl 66,,K2 V
GJ 2034,,GJ 2034,,DA8
GJ 1123,,GJ 1123,,m
Gl 493.1,,Gl 493.1,,dM5 e
NN 4063,,NN 4063,,M3 p
GJ 1276,,GJ 1276,,DZ9+
GJ 1289,,GJ 1289,,k
Gl 48,,Gl 48,,M3.5e
Gl 54,,Gl 54,,K
p Eridani,,Gl 66 B,p Eridani,K0V
BD+18°3421,,Gl 686,,M1
44 Chi Draconis,44 Chi Draconis,Gl 713,,F7Vvar
Gl 884,,Gl 884,,K5/M0V
GJ 1151,,GJ 1151,,m
Gl 518,,Gl 518,,DZ9
GJ 1227,,GJ 1227,,m
Gl 747,,Gl 747,,M3.5 J
Gl 747 B,,Gl 747 B,,M5 K
GJ 1105,,GJ 1105,,M4V
Gl 486,,Gl 486,,M4
Gl 595,,Gl 595,,M5
Hip 93449,,,,A5IIevar
Gl 232,,Gl 232,,M4.5
Hip 20968,,,,
Gl 438,,Gl 438,,K0
Gl 695 B,,Gl 695 B,,M3 J
Gl 695 C,,Gl 695 C,,M4 K
Hip 31292,,,,
8 Beta Canum Venaticorum,8 Beta Canum Venaticorum,Gl 475,,G0V
86 Mu Herculis,86 Mu Herculis,Gl 695,,G5IV
NN 3076,,NN 3076,,m
NN 3146,,NN 3146,,m
GJ 1057,,GJ 1057,,m
Gl 185 B,,Gl 185 B,,
GJ 1154,,GJ 1154,,m
Gl 618 B,,Gl 618 B,,M5 :
BD-21°1051,,Gl 185,,M0V
61 Virginis,61 Virginis,Gl 506,,G5V
Gl 618,,Gl 618,,M4
NN 3517,,NN 3517,,m
Gl 867 B,,Gl 867 B,,dM4 e
Zeta Tucanae,Zeta Tucanae,Gl 17,,F9V
BD+36°2219,,Gl 450,,M1V
Gl 745,,Gl 745,,M2
Gl 867,,Gl 867,,M0Vpe
Gl 877,,Gl 877,,K
Gl 250 B,,Gl 250 B,,M2
NN 3839,,NN 3839,,m
GJ 1054 B,,GJ 1054 B,,
Gl 203,,Gl 203,,M5
54 Chi 1 Orionis,54 Chi 1 Orionis,Gl 222,,G0V
BD-05°1844,,Gl 250,,K3V
GJ 1103,,GJ 1103,,m
GJ 1103 B,,GJ 1103 B,,m
GJ 2069 B,,GJ 2069 B,,
NN 3667,,NN 3667,,DC8
Gl 666 B,,Gl 666 B,,M0 V
Gl 791.2,,Gl 791.2,,dM6 e
Gl 183,,Gl 183,,K3V
Hip 31293,,,,
Gl 666,,Gl 666,,M0V
Gl 785,,Gl 785,,K3V
BD-05°5715,,Gl 849,,M3
NN 3128,,NN 3128,,m
Gl 283,,Gl 283,,DZQ6
Gl 283 B,,Gl 283 B,,m
Gl 318,,Gl 318,,DA6
NN 3707,,NN 3707,,m
NN 3820,,NN 3820,,K2 :
Gl 465,,Gl 465,,M4
Gl 745 B,,Gl 745 B,,M2
Gl 51,,Gl 51,,M5
Gl 216 B,,Gl 216 B,,K2 V
NN 4360,,NN 4360,,m
23 Delta Eridani,23 Delta Eridani,Gl 150,,K0IV
