Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Hip 101510,,,,
Hip 116315,,,,F8V
BD+25°55,,,,
BD+32°204,,,,F5
Hip 24008,,,,F5V
Hip 29439,,,,F6V
Hip 33301,,,,
Hip 34992,,,,F3V
Hip 42895,,,,A9V
BD+09°2076,,,,
BD+22°2014,,,,
BD+52°1461,,,,
BD+28°1923,,,,
Hip 58406,,,,F2
6 Comae Berenices,6 Comae Berenices,,,A3V
Gl 460,,Gl 460,,F0IV
BD+13°2550,,,,
Hip 76446,,,,
BD-13°4779,,,,F5V
Hip 99132,,,,
Hip 99956,,,,F5
Hip 106452,,,,
BD-18°12,,,,
Hip 4764,,,,
Upsilon Phoenicis,Upsilon Phoenicis,,,A3V
58 Andromedae,58 Andromedae,,,A5IV-V
21 Orionis,21 Orionis,,,F5IIvar
BD+38°1670,,,,
BD-09°2020,,,,
BD+08°2113,,,,
Hip 74703,,,,F8
Hip 82142,,,,F0
BD+78°632,,,,G0
Hip 109182,,,,F5
BD+51°3566,,,,
BD+47°17,,,,
Beta Phoenicis,Beta Phoenicis,,,G8IIIvar
BD+36°569,,,,G0
BD+18°359,,,,F8
BD+16°782,,,,G0
Hip 30886,,,,A9IV
Hip 34922,,,,M5e
Hip 52461,,,,
Hip 55385,,,,
BD+04°2817,,,,
BD+39°2806,,,,
Hip 75790,,,,G0V
BD+07°3128,,,,
Hip 80168,,,,
Hip 80878,,,,
Hip 83707,,,,
Hip 93097,,,,F2V
BD+18°4218,,,,
Hip 114061,,,,
Hip 21685,,,,K0III
Hip 23857,,,,
Gl 210,,Gl 210,,G0V...
BD+75°236,,,,
Hip 36620,,,,
Hip 39680,,,,
Hip 49332,,,,
Hip 52694,,,,F3IV/V
Hip 54688,,,,A5V
Hip 56954,,,,
Hip 58248,,,,F2
BD+39°2620,,,,F7V
BD+23°2611,,,,
Hip 87066,,,,
Hip 88663,,,,
Hip 91992,,,,F5/F6V
Hip 105086,,,,
Alpha Tucanae,Alpha Tucanae,,,K3III
Hip 10366,,,,G8III:var
Hip 18150,,,,
BD-11°904,,,,
Hip 29210,,,,F3IVw
Iota Antliae,Iota Antliae,,,K0III
BD+55°1476,,,,
41 Virginis,41 Virginis,,,A7III
BD+01°2836,,,,
BD+65°957,,,,
Hip 77470,,,,
Hip 102435,,,,F0IV/V
Hip 109209,,,,F2V:
BD+40°158,,,,
Mirach,43 Beta Andromedae,Gl 53.3,Mirach,M0IIIvar
Hip 6136,,,,
BD+51°913,,,,
Hip 21187,,,,
Hip 28241,,,,
Hip 40134,,,,G5
50 Cancri,50 Cancri,,,A1V
BD+17°2130,,,,
Hip 48766,,,,
BD+03°2560,,,,
Hip 58878,,,,F6V
BD+11°2540,,,,
BD+10°2637,,,,
Hip 81603,,,,
Hip 92757,,,,F4V
Hip 94561,,,,
Hip 94902,,,,F6V
Hip 97319,,,,A7IV
BD-04°5147,,,,
BD+58°2532,,,,
Scheat,53 Beta Pegasi,,Scheat,M2II-IIIvar
Hip 3010,,,,F5IV-V
Lambda 1 Tucanae,Lambda 1 Tucanae,,,F7IV/V
BD+04°290,,,,
BD+08°279,,,,
BD-13°968,,,,
Hip 32155,,,,
BD+57°1135,,,,
Hip 61868,,,,
BD+33°2320,,,,
Hip 65870,,,,
Xi 1 Lupi,Xi 1 Lupi,,,A3V
BD+06°4014,,,,F5...
BD+30°4231,,,,
16 Delta,16 Delta,,,A4V
BD+11°4945,,,,
BD+28°4665,,,,
Hip 1582,,,,
BD+03°133,,,,
Hip 7142,,,,
49 Ceti,49 Ceti,,,A1V
Hip 8799,,,,
Hip 11102,,,,A5V
Hip 12326,,,,F8IV/V + G/K
Hip 18547,,,,A8V
Hip 20184,,,,
Hip 21431,,,,F8IV-V
Hip 24578,,,,F6/F7V
Hip 29232,,,,
Hip 31201,,,,F8V
BD-02°1669,,,,
Hip 38166,,,,
6 Sextantis,6 Sextantis,,,A8III
BD-11°2858,,,,
Hip 53835,,,,
Hip 57082,,,,F2IV-V
Hip 66144,,,,
Hip 67401,,,,
BD+16°2585,,,,
Hip 68194,,,,
Hip 69682,,,,
Hip 72582,,,,K0III-IV
BD-00°3106,,,,
Hip 80398,,,,F2
BD+12°3152,,,,F5
BD+02°4405,,,,
BD+60°2378,,,,
BD+82°688,,,,
Hip 114729,,,,F5
BD+31°1020,,,,
Hip 27192,,,,A3e...
Hip 38022,,,,F0
Hip 50084,,,,F2
BD+43°2018,,,,
BD+06°2433,,,,
BD+24°2344,,,,
80 Leonis,80 Leonis,,,F3IV
Hip 58691,,,,
BD-15°3774,,,,
Hip 82989,,,,K0V
BD+10°3153,,,,F8IV
BD+01°3448,,,,
Hip 91837,,,,
BD-09°5337,,,,
BD+12°4870,,,,
Hip 116377,,,,
BD+23°4831,,,,
Hip 307,,,,
Hip 772,,,,
Hip 11661,,,,F5V
Hip 12988,,,,
Hip 15058,,,,F8
BD+64°416,,,,
24 Camelopardalis,24 Camelopardalis,,,K0III
Hip 30038,,,,F6V
Hip 32125,,,,F2
Hip 33371,,,,
Hip 38138,,,,F2
Hip 49094,,,,
Hip 50799,,,,K1IIIvar
BD-05°3487,,,,F8
Hip 63778,,,,
Hip 70618,,,,F5
BD+09°2937,,,,
BD+52°1880,,,,
BD-06°4258,,,,
BD+34°2776,,,,
BD+29°2963,,,,
Hip 87316,,,,
Hip 87958,,,,F5
BD+53°2343,,,,
BD+59°2193,,,,F5
Hip 112960,,,,F5
BD-02°5998,,,,
Hip 116602,,,,A2V
Hip 6772,,,,
BD+51°778,,,,
BD+00°789,,,,G5
Hip 32764,,,,
Hip 43056,,,,
Hip 46358,,,,K2III
Hip 60317,,,,
Hip 69171,,,,F2
Hip 73108,,,,F8V
Hip 100035,,,,F5IV
Hip 103091,,,,
Hip 110397,,,,
BD-11°5871,,,,
Hip 118061,,,,
BD-12°63,,,,
Hip 10611,,,,
BD+24°437,,,,
Hip 18592,,,,F2IV
Hip 30278,,,,F0
Hip 38604,,,,G5
Hip 39017,,,,A3
BD-07°3061,,,,
BD-15°3144,,,,
Hip 59984,,,,F2V
Hip 70923,,,,F3/F5V
Hip 71497,,,,
BD-11°3881,,,,
BD+65°1122,,,,
Hip 85186,,,,
Hip 92291,,,,F0
Hip 93002,,,,
Hip 93074,,,,A5IV/V
Hip 102963,,,,F6V
Hip 108849,,,,F3III
Hip 109007,,,,
Hip 117548,,,,
Hip 8517,,,,
Hip 17108,,,,F8/G0V
Hip 22604,,,,
Hip 23157,,,,
BD+04°808,,,,
Hip 29873,,,,F8
BD+08°1883,,,,
Hip 43624,,,,F5IV-V
Hip 44191,,,,Fp
BD-07°2785,,,,F8
Hip 47190,,,,
BD-09°3102,,,,
Hip 53532,,,,F5
Hip 54063,,,,A5
BD+07°2412,,,,F5
Hip 60665,,,,F6V
BD+49°2205,,,,
BD-16°3704,,,,
BD-09°3804,,,,F5
BD+23°2791,,,,
Hip 82416,,,,
Hip 85307,,,,F3V
Hip 92773,,,,
Hip 95926,,,,K0
Hip 98560,,,,
BD+65°1483,,,,
Hip 108611,,,,
Hip 109838,,,,F3IV/V
Hip 116074,,,,
BD-17°6819,,,,
Hip 117673,,,,F5...
BD-02°6067,,,,
Hip 238,,,,F6/F7V
Hip 4417,,,,
Hip 5623,,,,F8/G0V
BD+04°412,,,,
Hip 12860,,,,
BD+30°803,,,,
Hip 29573,,,,K0
Hip 38600,,,,
BD+76°339,,,,
Hip 45802,,,,F4V
BD+14°2083,,,,
Hip 48132,,,,F5
BD+35°2213,,,,
BD-06°3957,,,,
BD+20°3000,,,,
BD+48°2317,,,,
Lambda Coronae Australis,Lambda Coronae Australis,,,A0/A1V
Hip 6733,,,,F2
Tau Sulptoris,Tau Sulptoris,,,F2V
Tau 2 Hydri,Tau 2 Hydri,,,F0III
BD+30°372,,,,F5
BD+20°409,,,,
Hip 14844,,,,A7III-IV
Hip 15191,,,,F4Vwvar
Hip 15357,,,,F3V+...
BD+58°657,,,,
Hip 17897,,,,
BD+02°692,,,,F5
BD+30°704,,,,
BD+32°1064,,,,F8
Hip 61716,,,,
17 Canum Venaticorum,17 Canum Venaticorum,,,A9III-IV
Hip 64673,,,,
BD+58°1491,,,,
BD+26°2791,,,,
Hip 84572,,,,
Hip 88528,,,,F0IV-V
BD-00°3443,,,,
BD+13°4740,,,,
Hip 108729,,,,
BD+05°5079,,,,
BD+61°118,,,,
Hip 6807,,,,
BD-17°301,,,,
Hip 16739,,,,
BD+23°535,,,,F8IV
BD+43°1179,,,,
Hip 26372,,,,F0
Hip 29852,,,,A2V
Hip 30502,,,,
BD+55°1167,,,,
25 Monocerotis,25 Monocerotis,,,F6III
Hip 54938,,,,F3V
BD+46°1713,,,,
BD+27°2018,,,,
43 Delta Virginis,43 Delta Virginis,,,M3III
Hip 65010,,,,
BD+19°2752,,,,
BD+59°1611,,,,
BD-07°4444,,,,
BD+12°3316,,,,
Hip 89053,,,,
BD+04°4057,,,,F5
Hip 96918,,,,
Hip 97548,,,,
Hip 98714,,,,G5IV
Hip 103430,,,,
BD+34°4818,,,,
Hip 117627,,,,
Hip 737,,,,G5
BD+17°176,,,,
Hip 10069,,,,F0IV/V
BD-06°540,,,,
BD+19°1236,,,,
Hip 36058,,,,
BD+51°1328,,,,
Hip 50391,,,,A8V+...
BD+17°2210,,,,
Hip 51781,,,,K2III
Hip 55516,,,,
Hip 59111,,,,F5V
Hip 59156,,,,
Hip 61688,,,,F0V
BD+55°1667,,,,
Hip 70512,,,,
Hip 70724,,,,
BD+35°2692,,,,
BD-18°4234,,,,
Hip 91273,,,,K0IV
BD-12°6088,,,,F6V
Gamma Gruis,Gamma Gruis,,,B8III
BD+14°4853,,,,
Hip 116699,,,,F0IV
BD+65°1984,,,,K0
BD+16°25,,,,
Hip 2137,,,,
BD+53°211,,,,G0
Hip 11192,,,,F0IV/V
Hip 16285,,,,A5V
BD+10°484,,,,
Hip 19070,,,,G5
BD+34°1140,,,,
BD+60°1015,,,,
Hip 46517,,,,A6V
Hip 50447,,,,F2V
65 Leonis,65 Leonis,,,G9IIICN...
Hip 70487,,,,
Hip 95586,,,,F5III
Hip 101904,,,,
Hip 105408,,,,
Hip 108466,,,,
Hip 114408,,,,K0IV
BD+73°137,,,,
Hip 21479,,,,M8e
Hip 22611,,,,F6IV/V
Hip 35261,,,,F5
BD+45°1516,,,,
BD+15°1749,,,,
BD-01°2786,,,,
Hip 68950,,,,
BD+40°2797,,,,
Hip 90152,,,,
11 Delta Delta,11 Delta Delta,,,A7IIIp d Del
Hip 106591,,,,
BD+09°5074,,,,
Hip 3035,,,,F3IV/V
BD-13°283,,,,
BD+33°476,,,,
Hip 13133,,,,A3V
BD+21°390,,,,
Hip 16914,,,,F0III
BD+18°558,,,,
Hip 20561,,,,F5V
Hip 41483,,,,A9/F0III/IV
BD+61°1062,,,,
Hip 42496,,,,
51 Sigma 1 Cancri,51 Sigma 1 Cancri,,,A8Vms
BD+30°1961,,,,F5
BD+80°347,,,,F8V
Hip 53773,,,,A3IV
Hip 57441,,,,
BD+53°1608,,,,
Hip 68310,,,,
Hip 72155,,,,
BD-00°3143,,,,
Hip 88650,,,,
BD+07°4003,,,,
Hip 97423,,,,A6:IIIm...
Hip 99902,,,,
Hip 112670,,,,F5
BD+46°3969,,,,
Hip 115522,,,,F3IV/V
BD-18°6397,,,,
BD+32°4772,,,,
Hip 9327,,,,F0
Hip 21537,,,,G5
Hip 26030,,,,
BD-22°1268,,,,
Hip 33024,,,,F0Vn
9 Hydrae,9 Hydrae,,,K0IIICN...
BD+26°2324,,,,
BD+46°1887,,,,
Hip 88683,,,,G1V
Hip 89601,,,,F2V
BD-10°5002,,,,
Hip 105547,,,,F5V
Hip 109782,,,,
28 Rho 1 Cephei,28 Rho 1 Cephei,,,A2m
BD-13°6317,,,,
Lambda Hydri,Lambda Hydri,,,K5III
BD+55°178,,,,
Hip 6011,,,,
39 Chi Cassiopeiae,39 Chi Cassiopeiae,,,K0III
Hip 8744,,,,
5 Gamma 2 Arietis,5 Gamma 2 Arietis,,,A1p Si
Hip 14382,,,,K0II-III
Hip 19434,,,,F2
Hip 21548,,,,
BD+03°898,,,,
Hip 31648,,,,
Hip 32897,,,,
BD+81°227,,,,
BD-11°1830,,,,G5
Hip 40878,,,,F0IV
BD+51°1437,,,,
Hip 42970,,,,F2
BD-16°2625,,,,F7V
BD+71°525,,,,
BD-20°3116,,,,
Hip 54857,,,,F2
Hip 57646,,,,A3m
BD+39°2838,,,,
BD-06°4183,,,,F8
Hip 77421,,,,
87 Herculis,87 Herculis,,,K2III
59 Xi Aquilae,59 Xi Aquilae,,,K0III
Hip 99731,,,,G5IV
BD+04°4656,,,,
Hip 114282,,,,
Hip 117729,,,,
BD+25°710,,,,
Hip 23314,,,,
Hip 38755,,,,G0
Hip 39254,,,,
Hip 42075,,,,G5V
Hip 42644,,,,F3V
BD+67°569,,,,
BD-22°2923,,,,
Hip 59081,,,,
Hip 60958,,,,
BD+61°1327,,,,
BD+58°1514,,,,
Hip 71629,,,,F7IV
Hip 76198,,,,F3III
BD+76°678,,,,
56 Sagittarii,56 Sagittarii,,,K0III
Hip 99391,,,,G0V
9 Iota Piscis Austrini,9 Iota Piscis Austrini,,,B9.5V
BD-02°6038,,,,
BD+04°16,,,,
BD-18°49,,,,F6V
BD-05°75,,,,
Hip 3788,,,,F0V
BD-19°321,,,,
BD+39°427,,,,
Hip 32281,,,,
BD+11°1996,,,,
BD-09°2826,,,,
Hip 46711,,,,
Hip 47873,,,,F6V
BD+60°1368,,,,
BD+04°2609,,,,
Hip 61674,,,,F2
Hip 68507,,,,
Hip 68707,,,,F4V
Hip 72010,,,,K3III
BD-02°3906,,,,
Hip 73805,,,,
Hip 91434,,,,
Hip 94491,,,,F3V
BD+06°4480,,,,
Hip 109470,,,,F5V
Hip 110713,,,,F0V
Hip 114880,,,,
Hip 118092,,,,A2p
BD-10°142,,,,
BD-05°598,,,,
59 Arietis,59 Arietis,,,G8IV
Hip 18235,,,,G8IV/V
Hip 19508,,,,G0
Hip 30318,,,,F0III
BD+16°2087,,,,
BD+18°2342,,,,
Hip 53993,,,,
BD+06°2420,,,,
Hip 57805,,,,Am
Hip 59913,,,,
Hip 60149,,,,
Hip 71890,,,,G8IV
BD+51°1951,,,,
BD+17°2806,,,,
Hip 75818,,,,F2V
BD+17°3331,,,,
Hip 87755,,,,
Hip 100266,,,,F8V
74 Draconis,74 Draconis,,,K0III+...
GJ 1269,,GJ 1269,,K0V
Hip 117493,,,,F7/F8V
Hip 277,,,,F2V
BD-12°75,,,,F5
28 Upsilon 2 Cassiopeiae,28 Upsilon 2 Cassiopeiae,,,G8III-IV
BD-06°264,,,,
Hip 7040,,,,
Hip 12921,,,,
Hip 21301,,,,F5
Hip 23383,,,,
Hip 30179,,,,
Hip 41683,,,,K0
Hip 42847,,,,
Hip 51001,,,,F3/F5V
BD+03°2588,,,,
Hip 59030,,,,G0V
Hip 62231,,,,
Hip 62402,,,,A9V
Hip 66693,,,,
Hip 68323,,,,F7V
5 Chi Lupi,5 Chi Lupi,,,B9.5III-IV
Hip 77779,,,,F7V
Hip 85537,,,,A8V
Hip 93546,,,,K0IV
Hip 95327,,,,
Hip 97096,,,,
Hip 97099,,,,
61 Phi Aquilae,61 Phi Aquilae,,,A1IV
52 Cygni,52 Cygni,,,K0III
BD-16°409,,,,
Hip 20263,,,,G8IV:
Hip 23425,,,,F5
109 Tau,109 Tau,,,G8III
Hip 28484,,,,A1m...
BD+66°493,,,,
BD+00°2186,,,,
BD+47°1653,,,,
BD-12°3057,,,,F6IV
Hip 53005,,,,Am
BD-20°3367,,,,
Hip 76499,,,,
BD+58°1693,,,,F5
Hip 95321,,,,
BD+70°1190,,,,F5
BD-19°6316,,,,F6V
Hip 3603,,,,
BD+01°205,,,,
Hip 7766,,,,
BD-22°605,,,,
39 Eridani,39 Eridani,,,K3III
Hip 20168,,,,
BD+58°1093,,,,F5
Hip 49658,,,,F4V
Hip 57477,,,,K3III
BD+10°2515,,,,
Hip 67890,,,,K2III
Hip 77305,,,,
Hip 80595,,,,
BD+69°946,,,,
Hip 96522,,,,
Hip 102399,,,,
BD-08°5676,,,,
74 Cygni,74 Cygni,,,A5V
Hip 109443,,,,
Hip 111469,,,,F2V
Hip 111672,,,,
BD+34°4886,,,,
Hip 114899,,,,F3/F5IV
Hip 115770,,,,A6IV
Hip 21369,,,,F0
Hip 21458,,,,
Hip 40518,,,,
10 Hydrae,10 Hydrae,,,A6V
Hip 42976,,,,F2
Hip 47039,,,,F5V
Hip 54285,,,,
Hip 55766,,,,F0
Hip 57205,,,,
BD+07°3291,,,,
BD+35°3016,,,,
BD+39°3235,,,,
Eta Scuti,Eta Scuti,,,K1III
BD+11°4601,,,,
BD-20°6341,,,,
Hip 2031,,,,
Hip 2064,,,,
Hip 10911,,,,
Hip 12167,,,,
BD+25°790,,,,
Hip 27688,,,,
Hip 34589,,,,A9V
BD+05°2321,,,,
Hip 50883,,,,
30 Leonis Minoris,30 Leonis Minoris,,,F0V
Hip 51795,,,,F6V
BD-15°3317,,,,
Hip 72104,,,,A0V
BD+33°2511,,,,
BD-20°4322,,,,
BD-14°4323,,,,
BD+02°3127,,,,
Hip 81533,,,,
BD+06°4300,,,,
BD+42°3807,,,,F8
Hip 104027,,,,
BD-18°447,,,,G3V
Hip 23719,,,,
Hip 35947,,,,F5V
Hip 46703,,,,
Hip 47449,,,,
BD+41°2109,,,,
41 Leonis Minoris,41 Leonis Minoris,,,A3Vn
BD-01°2455,,,,
Hip 56497,,,,K1III/IV
BD+08°2621,,,,
Hip 65535,,,,Kp...
BD+36°2535,,,,
BD+09°2977,,,,
Hip 97393,,,,F5V
BD+14°4456,,,,
Hip 2511,,,,
Hip 9497,,,,
Hip 11847,,,,F0
Hip 13270,,,,
BD-12°676,,,,
13 Lyncis,13 Lyncis,,,K0III
Hip 35279,,,,
Hip 38319,,,,A2m
BD+43°1789,,,,
BD+70°519,,,,
BD+06°2153,,,,
BD+00°2558,,,,
Hip 52325,,,,
Hip 61123,,,,
64 Virginis,64 Virginis,,,A2m
BD+00°3300,,,,
Hip 75555,,,,
BD-00°3239,,,,
BD+39°3362,,,,
BD+48°2676,,,,
26 Sagittarii,26 Sagittarii,,,A3m...
BD-02°4881,,,,
Hip 97564,,,,F7V
Hip 102801,,,,F2
BD+03°4493,,,,
Hip 104226,,,,
Hip 112064,,,,
BD-12°6462,,,,
Hip 10123,,,,
Hip 13210,,,,F0
Hip 17470,,,,F0
BD+42°1510,,,,
Hip 38235,,,,A9V
BD+32°2036,,,,
BD+26°2315,,,,
BD+04°2585,,,,
Hip 61395,,,,
Gl 638.1,,Gl 638.1,,K0V
BD+65°1241,,,,
Hip 98108,,,,
BD-17°6088,,,,
Gamma Indi,Gamma Indi,,,F1III
Hip 108513,,,,K0
Hip 109565,,,,
BD+23°481,,,,
Hip 19212,,,,
42 Xi Eridani,42 Xi Eridani,,,A2V
Hip 25206,,,,
BD+84°112,,,,
Hip 29692,,,,K1III
Hip 62252,,,,
BD+52°1678,,,,
BD-17°3920,,,,
Hip 73293,,,,
Hip 78059,,,,F6V
Hip 88836,,,,K2III
Hip 95420,,,,
Hip 95532,,,,K0III
Hip 103139,,,,
BD+44°4020,,,,
Hip 108971,,,,
42 Zeta Pegasi,42 Zeta Pegasi,,,B8.5V
BD+13°325,,,,
52 Upsilon 2 Eridani,52 Upsilon 2 Eridani,,,G8III
Gamma Pyxidis,Gamma Pyxidis,,,K3III
Hip 50435,,,,Am
BD+11°2252,,,,
BD+78°385,,,,F5
Hip 58384,,,,
BD+05°2582,,,,
BD-22°3496,,,,
Hip 69905,,,,
Hip 71047,,,,
Hip 78456,,,,
BD-14°4339,,,,
BD+69°880,,,,
Hip 85038,,,,A5V
BD-01°3876,,,,
BD+17°4201,,,,G0
Hip 100338,,,,
Hip 100474,,,,
Hip 106505,,,,
Hip 113213,,,,
Hip 118196,,,,
BD-11°493,,,,
BD-18°767,,,,
Hip 23362,,,,B9V
BD+32°1238,,,,
BD-00°1590,,,,F8
Hip 45183,,,,F6V
Hip 53657,,,,
57 Ursae Majoris,57 Ursae Majoris,,,A2V
Hip 56054,,,,F5IV-V
BD+26°2404,,,,
Hip 68191,,,,K4III
BD+16°2652,,,,G5
Hip 70955,,,,
BD+47°2167,,,,
Hip 72066,,,,F0
BD-07°4039,,,,
Hip 79808,,,,
Hip 83491,,,,F3V
BD+45°2620,,,,
BD+44°3491,,,,
BD+18°4608,,,,
BD+11°10,,,,
Hip 7034,,,,F0
BD-16°1147,,,,F6V
59 Geminorum,59 Geminorum,,,F0:III:
Hip 39186,,,,
BD+11°1960,,,,
Hip 54214,,,,F0Vn
Hip 57013,,,,A0V
BD+20°2830,,,,
BD+47°2140,,,,
BD+47°2174,,,,
Hip 73798,,,,
Hip 85964,,,,F5
Hip 87532,,,,F2V
BD+33°3050,,,,
BD+26°3498,,,,
Hip 98197,,,,
Hip 104838,,,,K1III
BD+19°5197,,,,G0
BD+07°411,,,,
Hip 16666,,,,F3V
Hip 39681,,,,G5IV
BD+08°2281,,,,
Hip 56154,,,,F2V
BD-19°3318,,,,
BD-21°3594,,,,
Izar,36 Epsilon Boötis,,Izar,A0
Hip 87664,,,,
BD-04°4511,,,,
Zeta Pavonis,Zeta Pavonis,,,K2III
Hip 101031,,,,
BD+01°4472,,,,
17 Phi 1 Ceti,17 Phi 1 Ceti,,,K0IIIvar
Lambda 2 Tucanae,Lambda 2 Tucanae,,,G7III
Hip 7589,,,,F5
Hip 10587,,,,
Hip 13348,,,,
BD+00°492,,,,
Hip 14611,,,,
Hip 17874,,,,G8III
Hip 41935,,,,K2III
BD+29°1988,,,,
Hip 50641,,,,F7V
Hip 57319,,,,
Hip 61075,,,,F8V
Hip 67851,,,,K0III
Hip 72559,,,,
Hip 75736,,,,Am
13 Delta Serpentis,13 Delta Serpentis,,,F0IV
8 Phi Ophiuchi,8 Phi Ophiuchi,,,G8/K0III
Hip 83980,,,,
Hip 84949,,,,F9Vn...
Hip 85211,,,,F3V
Hip 90732,,,,
Hip 91956,,,,F2V
Hip 97205,,,,
Hip 103048,,,,
Hip 107901,,,,F0V
Hip 109796,,,,
BD+10°4791,,,,
Hip 115094,,,,
Hip 10830,,,,F4V
BD+34°454,,,,
Hip 14973,,,,
BD+73°212,,,,F5
BD-02°1494,,,,
BD-14°2422,,,,
Hip 47266,,,,F2
Hip 55225,,,,A8IIIm...
Hip 70853,,,,
Hip 96713,,,,
Hip 116482,,,,A2m...
Hip 10668,,,,
Hip 12368,,,,
BD-09°693,,,,
57 Persei,57 Persei,,,F0V
BD+14°938,,,,
Hip 30815,,,,G5
Hip 31801,,,,
BD+38°1773,,,,G0
8 Cancri,8 Cancri,,,A1V
BD+52°1313,,,,
BD+11°1988,,,,
BD+23°2195,,,,
BD-07°3323,,,,
Hip 60595,,,,A1V
BD+65°924,,,,
BD+49°2265,,,,
BD+61°1495,,,,G0
BD+11°2846,,,,
BD+10°3295,,,,
BD+11°3368,,,,
Hip 90810,,,,F2
Hip 93552,,,,F2III/IV
Hip 96313,,,,A3
Hip 104192,,,,
BD-14°6187,,,,
Hip 109228,,,,K0III/IV
Hip 113431,,,,
Hip 113777,,,,
34 Omicron Cephei,34 Omicron Cephei,,,K0III
Hip 5184,,,,
Hip 16115,,,,
20 Monocerotis,20 Monocerotis,,,K0III
Hip 41214,,,,F2V
BD+17°2213,,,,
NN 3679,,NN 3679,,G6/G8V
BD+40°2490,,,,
Hip 67782,,,,A7V
BD+29°2860,,,,
Hip 84150,,,,A0/A1V
BD+68°971,,,,
BD+59°1884,,,,
Hip 106336,,,,
Hip 107397,,,,
Hip 110518,,,,F5V
Hip 113858,,,,
BD+12°5013,,,,
Hip 117014,,,,G8IV/V
BD+35°249,,,,
47 Andromedae,47 Andromedae,,,A1m
Hip 6786,,,,F6V
Hip 17973,,,,
BD+04°666,,,,
BD+30°659,,,,
Hip 22650,,,,F7V
BD+32°1165,,,,F5
Hip 30377,,,,
Hip 31119,,,,A3V
BD+32°1731,,,,
BD+41°1945,,,,
Hip 51078,,,,
BD-22°3113,,,,
BD+07°2634,,,,
BD+01°3110,,,,
BD-14°4312,,,,
BD+21°3143,,,,
Hip 87882,,,,F0
BD+35°3269,,,,
Hip 97431,,,,F5III
16 Vulpeculae,16 Vulpeculae,,,F2III
NN 4172,,NN 4172,,K0V
BD+04°4762,,,,
BD+55°2727,,,,
BD+55°747,,,,
1 Omicron Tau,1 Omicron Tau,,,G8III
BD+19°740,,,,F8
Hip 37206,,,,
BD+51°1368,,,,
BD-18°3008,,,,
Hip 53345,,,,F8
Hip 56666,,,,F0
BD+16°2360,,,,
Hip 62095,,,,
Hip 63460,,,,F7V
Hip 64080,,,,
BD+68°730,,,,
Hip 67483,,,,A7IV-V
Hip 67818,,,,F5
BD-09°3979,,,,
Hip 75027,,,,F5V
Hip 90991,,,,A0/A1V
BD+19°4051,,,,
Hip 96849,,,,
BD-13°6130,,,,
BD+00°4837,,,,
BD+18°5124,,,,
BD+06°191,,,,
BD+00°287,,,,
Hip 9452,,,,F0
Hip 40524,,,,
Hip 45937,,,,
Hip 53416,,,,
Hip 53921,,,,F6V
Hip 59227,,,,
Hip 67186,,,,G0
Hip 78650,,,,K3III
BD-13°4464,,,,
Hip 83288,,,,
BD+22°3086,,,,F6V
Hip 87708,,,,F2
BD+11°3479,,,,
Hip 94310,,,,
Hip 95921,,,,
Hip 96392,,,,F5
Hip 98809,,,,F4III
BD+45°3429,,,,
Hip 873,,,,K0III
BD-12°84,,,,
Hip 3470,,,,
BD+05°521,,,,
Hip 17988,,,,F0
BD-00°648,,,,
Hip 20509,,,,
BD+21°902,,,,F8
Hip 29205,,,,K2III
Hip 31223,,,,F5V
BD+60°1046,,,,
BD+45°1563,,,,
Hip 41036,,,,A8IV
Hip 44279,,,,
Epsilon Pyxidis,Epsilon Pyxidis,,,A4IV
BD+66°610,,,,
Hip 52513,,,,A5V
Hip 56694,,,,
BD+44°2169,,,,
BD+57°1378,,,,
Hip 62437,,,,F0
BD+49°2212,,,,
Hip 68587,,,,
BD-02°3800,,,,
BD+59°1595,,,,
Hip 75604,,,,
Hip 76714,,,,F3V
BD+09°3230,,,,
Hip 85241,,,,
BD-22°5404,,,,
BD+43°3815,,,,
Hip 109404,,,,A5IV
Hip 115360,,,,F5V
107 Aquarii,107 Aquarii,,,F2:V+...
BD-20°570,,,,
Hip 22229,,,,
29 Tau Aurigae,29 Tau Aurigae,,,G8III
Hip 32718,,,,F8V
Hip 47489,,,,
Hip 58809,,,,F5
Hip 64835,,,,
Hip 64979,,,,F0IV
Hip 68413,,,,F1III-IV
Hip 78408,,,,
Hip 79741,,,,
Hip 102446,,,,
Hip 114040,,,,
BD-22°23,,,,
Hip 1392,,,,F5
Hip 5209,,,,F0
Hip 7200,,,,
Hip 9649,,,,
Hip 12581,,,,
Hip 38388,,,,F3V
Hip 42871,,,,F7V
BD+40°2542,,,,
Hip 65198,,,,A2V
Hip 75043,,,,A4V
Hip 83751,,,,
BD+54°2222,,,,
Hip 99803,,,,F6/8 + F
Hip 100891,,,,
Hip 103578,,,,
BD+45°3750,,,,
BD-21°6366,,,,
BD-08°6054,,,,
Hip 115151,,,,
Hip 117219,,,,A7V
Hip 2318,,,,
Xi Phoenicis,Xi Phoenicis,,,Ap
Hip 4864,,,,
BD+23°176,,,,
BD-11°259,,,,
BD-07°407,,,,
BD-10°516,,,,
Hip 18770,,,,F2
BD+06°686,,,,
Hip 35656,,,,
BD+48°1523,,,,
BD-05°2650,,,,
1 Kappa Leonis,1 Kappa Leonis,,,K2III
BD-21°3065,,,,
Hip 51608,,,,
BD+44°2012,,,,
