CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
51075,8498.0,17666.0,416.0,1364700.0,10685.0,3924.0,49324.0,4287.0,736169.0,45039.0,16780.0,86257,NA,902.0,379647.0,6376.0,NA,26478.0,59.3,7.4,19258.0,9872.0,16223.0,12.1,NA,3.6,NA,26606.0
25021,564267.0,809561.0,1508.0,18770873.0,354321.0,134172.0,1422220.0,539038.0,2873807.0,44692.0,2648387.0,93187,2596.0,968273.0,845248.0,1183402.0,10041.0,507672.0,1627.5,7.1,2212761.0,520308.0,1368750.0,16.1,367642.0,3.4,130974.0,1440097.0
08035,220887.0,268786.0,1671.0,6566481.0,45421.0,74754.0,476309.0,88554.0,678111.0,43634.0,625975.0,109926,1443.0,899323.0,330469.0,985882.0,37930.0,149440.0,209.2,3.4,934719.0,72704.0,509592.0,10.1,44222.0,2.8,19115.0,175928.0
56039,136571.0,28859.0,553.0,723332.0,45217.0,6362.0,105519.0,16975.0,37099.0,43444.0,68774.0,83290,330.0,15696.0,6275.0,6506.0,NA,24577.0,4.6,6.6,67087.0,34844.0,65580.0,8.1,11316.0,2.0,NA,48870.0
34003,636676.0,990753.0,3568.0,26348221.0,345542.0,192015.0,1297943.0,733591.0,1632157.0,43347.0,4017783.0,88512,1227.0,1012824.0,3112913.0,1855202.0,320.0,522582.0,3775.5,7.1,3105666.0,514258.0,2108644.0,10.1,762973.0,4.7,152042.0,3541557.0
25017,1373323.0,3153564.0,3966.0,65697928.0,302101.0,284006.0,2639322.0,4283602.0,2848493.0,42861.0,7503712.0,90025,10326.0,7724074.0,6451855.0,4711940.0,5884.0,1203370.0,1779.6,7.6,14209499.0,855691.0,2462195.0,14.1,719545.0,3.2,316698.0,4918768.0
34025,438914.0,538368.0,2777.0,11371787.0,152641.0,113624.0,1140888.0,250171.0,934692.0,42749.0,2122842.0,86722,681.0,1005256.0,264865.0,520975.0,3541.0,335909.0,1303.8,7.5,1519106.0,214526.0,1101602.0,12.1,191425.0,4.8,140782.0,491826.0
49043,151531.0,28096.0,NA,918975.0,81025.0,7731.0,65001.0,10754.0,108671.0,42462.0,54181.0,93235,220.0,15243.0,34352.0,31788.0,13929.0,37496.0,15.9,6.2,71412.0,51854.0,101290.0,14.1,18494.0,2.9,4246.0,38057.0
36059,1025131.0,1562524.0,6231.0,29476017.0,489613.0,220371.0,2028919.0,915359.0,3001414.0,42400.0,6260693.0,101568,2583.0,1509827.0,1661871.0,849100.0,1513.0,917385.0,4655.0,6.1,2954813.0,649379.0,2444614.0,8.1,966625.0,3.8,312464.0,1915959.0
08079,2953.0,NA,NA,7942.0,877.0,187.0,773.0,NA,NA,42255.0,NA,50481,NA,NA,NA,NA,NA,205.0,0.9,9.4,177.0,94.0,1565.0,6.1,NA,1.7,NA,NA
